stream_id,fecha,cancion_id,plataforma_id,pais_usuario,reproducciones,ingresos_usd
269,2024-06-06,858,2,MX,25211,25.21
270,2024-08-31,677,2,CO,11063,11.06
271,2024-08-03,592,3,US,3660,25.62
272,2025-10-19,271,4,AR,3542,42.5
273,2024-06-20,476,2,US,31312,31.31
274,2026-02-03,972,4,ES,15413,184.96
275,2025-01-23,700,3,MX,17311,121.18
276,2024-05-28,544,5,AR,19026,95.13
277,2026-03-27,460,2,US,34850,34.85
278,2025-11-30,979,1,ES,41874,167.5
279,2024-12-28,980,4,ES,42833,514.0
280,2024-10-06,344,1,CL,6540,26.16
281,2024-09-18,671,2,MX,44355,44.36
282,2026-02-06,248,3,ES,12874,90.12
283,2025-06-16,346,3,BR,20630,144.41
284,2025-07-14,11,3,CL,4553,31.87
285,2024-01-13,422,1,AR,45024,180.1
286,2025-04-01,360,1,US,16608,66.43
287,2024-07-16,35,1,AR,3827,15.31
288,2025-08-31,673,5,BR,39381,196.91
289,2025-10-15,125,3,AR,5761,40.33
290,2025-09-11,134,2,CL,42561,42.56
291,2025-08-02,823,5,AR,45690,228.45
292,2024-07-07,260,1,CO,5062,20.25
293,2025-10-16,465,5,US,28082,140.41
294,2025-12-09,926,3,CL,21294,149.06
295,2024-09-20,166,4,US,4188,50.26
296,2025-01-26,398,1,AR,17023,68.09
297,2024-09-28,183,2,MX,13251,13.25
298,2025-09-16,403,1,MX,7206,28.82
299,2024-05-27,554,4,BR,40336,484.03
300,2025-10-20,109,5,CO,17073,85.36
301,2024-04-15,36,1,ES,47780,191.12
302,2024-09-13,796,2,MX,9855,9.86
303,2025-10-30,656,1,AR,43655,174.62
304,2025-02-03,273,1,US,25746,102.98
305,2025-08-11,4,2,CL,32257,32.26
306,2025-05-04,447,2,CO,4694,4.69
307,2025-07-07,232,1,CO,31692,126.77
308,2024-05-04,581,2,US,21952,21.95
309,2025-11-29,311,2,CO,42506,42.51
310,2024-04-02,375,2,US,5372,5.37
311,2025-04-15,779,4,CO,13411,160.93
312,2024-06-29,568,1,MX,43401,173.6
313,2024-07-14,307,3,AR,41428,290.0
314,2025-12-06,368,2,CO,28803,28.8
315,2026-01-22,195,1,BR,1762,7.05
316,2026-01-07,608,1,MX,4228,16.91
317,2026-03-22,554,3,MX,35092,245.64
318,2025-04-05,990,5,AR,22335,111.67
319,2024-02-27,346,4,AR,26675,320.1
320,2024-05-01,217,4,CO,34383,412.6
321,2025-04-14,963,3,CL,35264,246.85
322,2024-06-01,759,2,AR,2516,2.52
323,2026-01-23,145,2,AR,30981,30.98
324,2025-09-25,47,1,CO,8654,34.62
325,2024-01-15,177,3,US,6476,45.33
326,2025-04-12,626,1,ES,4291,17.16
327,2024-04-18,117,2,CL,40445,40.45
328,2024-08-13,65,4,MX,22208,266.5
329,2026-01-25,695,2,AR,44932,44.93
330,2025-08-12,559,1,CL,14074,56.3
331,2026-02-21,47,2,US,4243,4.24
332,2024-05-03,281,1,MX,11113,44.45
333,2025-12-14,379,2,MX,16067,16.07
334,2025-08-18,42,1,CL,41531,166.12
335,2025-09-19,386,4,AR,32013,384.16
336,2024-03-23,7,1,AR,46416,185.66
337,2025-10-29,608,5,MX,45549,227.75
338,2026-03-22,792,2,BR,13610,13.61
339,2024-05-26,656,1,MX,27102,108.41
340,2024-09-01,961,1,CO,2565,10.26
341,2025-09-02,185,3,ES,5868,41.08
342,2025-10-04,847,4,US,27545,330.54
343,2024-01-05,572,1,AR,34847,139.39
344,2024-04-07,634,2,CL,35471,35.47
345,2025-06-03,225,2,CO,43309,43.31
346,2024-08-01,284,1,AR,9879,39.52
347,2025-12-02,865,5,MX,32705,163.53
348,2024-06-29,164,3,AR,3640,25.48
349,2025-10-22,373,1,MX,16574,66.3
350,2024-12-08,632,4,CL,29797,357.56
351,2024-02-14,107,3,ES,11626,81.38
352,2024-06-10,805,1,ES,7706,30.82
353,2024-03-13,917,1,MX,38943,155.77
354,2025-08-16,334,2,CO,44458,44.46
355,2024-11-29,236,4,US,15027,180.32
356,2024-04-10,243,3,CL,13204,92.43
357,2025-01-19,913,1,MX,38444,153.78
358,2025-05-11,56,5,BR,14266,71.33
359,2025-09-16,466,1,US,9039,36.16
360,2025-04-13,738,1,US,17774,71.1
361,2024-07-26,344,1,CO,37368,149.47
362,2024-03-02,288,1,CL,30609,122.44
363,2025-04-14,429,1,US,14508,58.03
364,2024-10-29,619,1,CL,41911,167.64
365,2025-09-18,928,1,ES,15153,60.61
366,2024-03-29,422,4,MX,14284,171.41
367,2025-08-28,485,4,US,1050,12.6
368,2026-01-17,439,3,BR,16341,114.39
369,2024-12-01,445,2,ES,9862,9.86
370,2025-08-10,920,1,AR,2725,10.9
371,2025-04-26,752,4,AR,27998,335.98
372,2025-06-27,404,2,CL,45755,45.76
373,2024-04-10,464,2,AR,36701,36.7
374,2026-02-10,13,3,MX,14387,100.71
375,2024-05-15,368,1,CO,6046,24.18
376,2024-01-17,492,3,BR,46191,323.34
377,2025-04-15,879,2,ES,1699,1.7
378,2025-04-10,475,4,CL,46180,554.16
379,2025-02-19,190,4,US,41178,494.14
380,2025-04-20,721,3,CL,41211,288.48
381,2024-03-13,395,5,US,34894,174.47
382,2024-02-03,304,2,US,45847,45.85
383,2025-09-19,556,2,BR,44970,44.97
384,2024-03-23,636,5,CO,3692,18.46
385,2025-06-11,969,5,US,3479,17.39
386,2024-04-23,393,2,ES,2778,2.78
387,2025-01-09,376,1,ES,46294,185.18
388,2024-03-09,575,3,BR,9170,64.19
389,2024-12-08,245,2,CO,31458,31.46
390,2026-01-25,962,4,CL,46161,553.93
391,2024-08-02,772,3,BR,21101,147.71
392,2024-12-27,920,1,CO,27817,111.27
393,2024-10-10,56,1,US,29749,119.0
394,2025-05-12,514,2,AR,30912,30.91
395,2025-12-27,545,3,ES,19253,134.77
396,2025-04-07,636,2,CO,45531,45.53
397,2024-03-08,193,5,MX,5821,29.11
398,2024-03-23,401,5,US,5142,25.71
399,2024-04-21,169,1,CO,9796,39.18
400,2025-05-23,155,5,ES,41209,206.05
401,2024-01-24,301,2,CO,35583,35.58
402,2024-05-15,486,1,MX,48446,193.78
403,2025-10-22,22,1,AR,1544,6.18
404,2024-08-25,855,5,CO,22112,110.56
405,2025-02-25,593,1,CO,21484,85.94
406,2025-05-12,608,3,ES,36044,252.31
407,2025-03-31,469,1,BR,20186,80.74
408,2024-06-24,809,1,MX,24472,97.89
409,2024-10-22,789,4,BR,23242,278.9
410,2024-10-18,467,5,ES,10637,53.19
411,2025-12-29,549,1,BR,46506,186.02
412,2025-12-10,927,3,BR,10667,74.67
413,2024-08-31,120,1,US,37752,151.01
414,2024-05-09,452,1,BR,13545,54.18
415,2025-07-29,725,1,US,22634,90.54
416,2024-05-31,382,2,BR,35072,35.07
417,2024-11-04,125,5,MX,32829,164.15
418,2026-02-25,149,5,US,10327,51.63
419,2024-01-05,994,3,ES,21810,152.67
420,2025-10-24,723,1,US,49524,198.1
421,2025-08-10,683,1,ES,47845,191.38
422,2025-03-28,347,3,CO,31490,220.43
423,2024-02-11,143,3,AR,20290,142.03
424,2024-01-26,412,3,BR,29327,205.29
425,2024-12-31,95,1,ES,42129,168.52
426,2024-07-18,598,2,CL,18314,18.31
427,2024-07-19,24,1,CL,29293,117.17
428,2025-11-24,688,5,ES,25948,129.74
429,2024-07-18,503,1,ES,33625,134.5
430,2024-02-27,931,3,MX,9795,68.56
431,2026-01-03,875,2,MX,24533,24.53
432,2024-01-13,292,1,US,29301,117.2
433,2025-07-28,90,1,MX,48696,194.78
434,2025-03-01,823,2,BR,47810,47.81
435,2025-03-10,747,5,BR,38581,192.91
436,2025-09-04,89,1,US,31204,124.82
437,2025-06-21,344,1,ES,49652,198.61
438,2025-01-19,91,1,CO,18012,72.05
439,2025-02-28,180,2,CO,37318,37.32
440,2026-02-12,937,1,BR,25119,100.48
441,2024-10-23,568,2,CL,19891,19.89
442,2025-08-22,312,2,CO,30472,30.47
443,2024-08-17,28,4,BR,17314,207.77
444,2024-11-03,979,3,CO,31068,217.48
445,2024-05-07,670,3,US,27438,192.07
446,2024-07-02,504,5,CO,16139,80.7
447,2024-01-30,123,4,MX,4472,53.66
448,2025-09-05,764,2,MX,37165,37.16
449,2025-03-22,890,1,CO,31297,125.19
450,2025-12-11,838,1,ES,48135,192.54
451,2025-08-12,18,4,BR,38219,458.63
452,2024-02-29,150,1,CO,8979,35.92
453,2024-12-31,168,1,US,27593,110.37
454,2025-10-13,934,5,AR,19096,95.48
455,2024-10-25,543,3,AR,33776,236.43
456,2024-07-17,785,3,CL,6293,44.05
457,2025-09-05,771,1,US,20823,83.29
458,2025-12-02,820,1,CO,45841,183.36
459,2025-12-05,372,1,ES,23144,92.58
460,2024-05-27,14,1,US,24545,98.18
461,2026-03-08,497,2,BR,6812,6.81
462,2024-08-11,159,2,CL,12448,12.45
463,2026-03-25,919,2,CO,34549,34.55
464,2025-06-28,730,2,CL,7568,7.57
465,2025-03-03,472,5,AR,8700,43.5
466,2024-01-18,492,1,CO,23861,95.44
467,2024-05-22,837,2,ES,34383,34.38
468,2026-02-20,994,1,CO,20067,80.27
469,2024-01-30,763,4,BR,8535,102.42
470,2025-12-11,146,3,US,8314,58.2
471,2024-08-02,134,5,MX,45373,226.87
472,2026-02-20,803,1,AR,31836,127.34
473,2026-02-14,442,1,AR,2249,9.0
474,2026-03-23,676,2,AR,30841,30.84
475,2024-05-01,931,1,AR,19868,79.47
476,2025-11-14,11,4,CL,8212,98.54
477,2025-09-08,211,2,BR,12209,12.21
478,2025-11-17,360,1,BR,49002,196.01
479,2024-10-11,972,2,US,10622,10.62
480,2025-05-27,800,3,BR,33189,232.32
481,2025-08-06,70,1,ES,1016,4.06
482,2025-06-25,223,3,US,11357,79.5
483,2026-02-11,551,1,CO,6567,26.27
484,2024-08-07,943,2,CO,31210,31.21
485,2025-01-10,715,2,MX,44240,44.24
486,2024-04-19,186,4,MX,27893,334.72
487,2024-08-07,527,1,AR,49999,200.0
488,2024-11-17,127,2,ES,9007,9.01
489,2025-05-22,781,2,US,36612,36.61
490,2026-01-09,42,1,MX,7683,30.73
491,2025-01-29,291,2,CO,20547,20.55
492,2025-12-04,1000,4,BR,36401,436.81
493,2025-02-21,298,5,MX,12472,62.36
494,2024-03-12,917,4,MX,44607,535.28
495,2025-01-11,184,1,CO,32320,129.28
496,2025-11-19,108,2,ES,43258,43.26
497,2025-11-23,88,1,MX,26355,105.42
498,2025-12-12,605,5,CO,11157,55.79
499,2024-03-07,373,5,US,13224,66.12
500,2025-09-01,865,5,AR,15361,76.81
501,2025-03-10,743,2,CL,46859,46.86
502,2026-02-23,596,2,CL,42294,42.29
503,2025-02-13,365,2,ES,26605,26.61
504,2025-05-11,524,1,CL,29894,119.58
505,2024-04-20,126,1,MX,15227,60.91
506,2025-10-05,966,1,AR,48452,193.81
507,2024-02-24,851,1,CO,1853,7.41
508,2024-07-02,392,3,US,10109,70.76
509,2024-11-06,637,3,CL,5114,35.8
510,2025-11-07,770,2,MX,30641,30.64
511,2024-07-25,301,3,MX,33182,232.27
512,2024-09-24,556,1,CL,35524,142.1
513,2025-07-13,19,5,AR,28307,141.53
514,2024-05-01,393,2,CL,24763,24.76
515,2025-03-29,471,1,BR,36581,146.32
516,2025-11-06,882,4,CO,10857,130.28
517,2025-05-18,442,1,CO,25598,102.39
518,2025-05-14,783,1,CO,32248,128.99
519,2025-11-06,568,3,ES,30890,216.23
520,2025-05-02,576,4,ES,3752,45.02
521,2025-02-04,270,2,MX,40531,40.53
522,2025-11-23,362,4,US,21103,253.24
523,2024-03-03,29,2,BR,24113,24.11
524,2024-12-23,829,3,AR,41070,287.49
525,2024-12-15,390,1,US,23520,94.08
526,2025-02-25,360,1,BR,16327,65.31
527,2024-08-28,664,1,AR,45188,180.75
528,2024-03-08,890,1,US,11226,44.9
529,2024-01-21,552,1,MX,43207,172.83
530,2025-03-08,582,2,MX,17573,17.57
531,2024-01-21,713,2,AR,20843,20.84
532,2025-01-21,585,2,ES,6504,6.5
533,2025-05-15,103,3,BR,22117,154.82
534,2025-05-23,515,4,CO,22352,268.22
535,2024-06-19,630,1,MX,13322,53.29
536,2025-05-23,651,4,CL,5036,60.43
537,2025-07-02,220,1,AR,19585,78.34
538,2025-08-10,412,4,ES,48785,585.42
539,2024-04-04,735,4,AR,38888,466.66
540,2024-12-10,280,1,CL,34903,139.61
541,2025-05-01,438,1,CL,5124,20.5
542,2025-10-29,844,1,CL,19754,79.02
543,2025-03-19,680,2,BR,27252,27.25
544,2025-02-15,258,3,MX,44111,308.78
545,2026-02-20,561,1,AR,41246,164.98
546,2025-12-21,529,4,ES,32815,393.78
547,2024-08-06,677,5,CO,30724,153.62
548,2024-10-01,960,3,CL,40366,282.56
549,2026-02-26,929,2,ES,47719,47.72
550,2025-10-03,62,2,US,30409,30.41
551,2024-05-31,247,1,CO,19778,79.11
552,2025-03-21,421,1,CL,4322,17.29
553,2025-10-11,209,4,US,18911,226.93
554,2025-10-23,165,1,ES,15575,62.3
555,2025-02-19,245,1,BR,1915,7.66
556,2024-09-08,817,4,MX,31910,382.92
557,2025-07-27,447,2,AR,13337,13.34
558,2024-06-12,280,1,US,18304,73.22
559,2025-11-05,564,1,CL,2867,11.47
560,2026-01-09,498,4,AR,5600,67.2
561,2024-11-17,617,1,AR,26773,107.09
562,2025-01-07,688,3,AR,26110,182.77
563,2026-01-11,863,1,AR,37519,150.08
564,2026-01-22,513,5,ES,43630,218.15
565,2025-08-17,973,4,ES,16602,199.22
566,2025-05-23,906,1,ES,8113,32.45
567,2026-03-02,827,1,CL,38394,153.58
568,2026-01-24,400,4,CO,15562,186.74
569,2025-03-09,224,1,BR,14131,56.52
570,2024-10-08,451,2,CL,38732,38.73
571,2024-02-27,503,2,CO,7503,7.5
572,2024-11-20,559,2,CO,16244,16.24
573,2024-10-11,901,4,BR,23889,286.67
574,2025-05-01,733,2,US,1481,1.48
575,2025-10-22,991,5,AR,48560,242.8
576,2025-11-09,819,5,CO,44113,220.56
577,2024-09-02,260,2,US,41974,41.97
578,2025-12-18,372,5,CO,8098,40.49
579,2025-07-01,888,1,MX,25558,102.23
580,2024-01-09,932,5,US,19819,99.09
581,2024-04-02,959,4,BR,19591,235.09
582,2024-08-03,881,5,MX,41476,207.38
583,2024-11-20,901,4,CO,26726,320.71
584,2026-03-19,35,1,AR,32323,129.29
585,2025-04-27,755,2,CL,21905,21.91
586,2026-01-04,433,5,CL,6679,33.4
587,2024-06-13,716,1,AR,23159,92.64
588,2025-03-06,617,3,ES,48451,339.16
589,2024-11-30,465,3,CL,3514,24.6
590,2025-10-18,657,1,MX,42115,168.46
591,2024-05-19,4,2,CO,20124,20.12
592,2024-11-17,590,1,BR,16458,65.83
593,2025-06-12,731,5,CL,42644,213.22
594,2026-02-20,134,4,CO,26990,323.88
595,2026-03-22,962,1,MX,48280,193.12
596,2024-05-16,267,1,ES,21568,86.27
597,2026-03-29,289,1,MX,24191,96.76
598,2024-07-05,403,5,CL,37481,187.41
599,2024-08-17,22,5,ES,42508,212.54
600,2025-09-18,642,1,AR,30405,121.62
601,2024-07-22,269,3,BR,3362,23.53
602,2025-02-14,633,2,US,9881,9.88
603,2024-04-01,982,2,ES,7790,7.79
604,2024-01-15,736,2,CL,29834,29.83
605,2025-11-20,507,1,CO,13413,53.65
606,2024-07-14,969,4,CL,17545,210.54
607,2024-10-21,765,2,BR,28366,28.37
608,2024-07-30,615,1,CL,18644,74.58
