artista_id,nombre,genero,pais,anio_debut,fecha_registro
90,Lautaro Paz,Electronica,ES,2021,2021-05-29
91,Delfina Milagros Ruiz,Pop,AR,2017,2021-07-20
92,Santino Ezequiel Nahiara Garcia Moreno,Pop,AR,2011,2020-09-24
93,Agostina Farias,Electronica,BR,2018,2023-02-03
94,Luisana Juan Ignacio Valdez Lopez,Cumbia,ES,1990,2020-08-17
95,Martina Matias Romero Caceres,Rock,CO,1999,2023-01-22
96,Sofía Gutierrez,Pop,CL,2013,2023-04-07
97,Tiziano Valentin Lopez,Reggaeton,MX,1998,2020-03-26
98,Paloma Gonzalez Blanco,Electronica,US,1992,2022-01-02
99,Sr(a). Guadalupe Rodriguez,Jazz,CO,2005,2023-09-27
100,Julian Antonella Gomez Mendoza,Rock,US,2016,2023-06-25
101,Dr(a). Vicente Romero,Reggaeton,BR,2000,2020-12-28
102,Lautaro Benjamin Santiago Dominguez Alvarez,Cumbia,AR,2001,2021-11-11
103,Mora Julieta Molina,Cumbia,CL,2005,2021-06-30
104,Julieta Diaz Caceres,Reggaeton,CL,1996,2022-02-22
105,Dr(a). Valentin Benitez,Pop,CL,2020,2021-03-31
106,Bianca Geronimo Campos,Jazz,CL,2019,2021-12-17
107,Milagros Emilia Dominguez,Electronica,CL,2004,2021-04-01
108,Dr(a). Catalina Moyano,Pop,CO,2002,2022-03-27
109,Felicitas Francisco Diaz,Hip-Hop,US,1994,2021-07-25
110,Isabella Velazquez Cabrera,Hip-Hop,CO,2022,2022-03-29
111,Facundo Cruz Silva,Hip-Hop,AR,1997,2021-06-18
112,Morena Martinez,Reggaeton,ES,2006,2020-03-19
113,Uma Guzman Cruz,Rock,ES,2017,2021-12-08
114,Delfina Cordoba,Hip-Hop,MX,2022,2020-08-24
115,Dr(a). Isabella Martinez,Cumbia,ES,2002,2021-06-05
116,Facundo Figueroa Carrizo,Pop,CO,2017,2020-01-04
117,Dr(a). Maria Guadalupe Paez,Jazz,US,2017,2020-05-23
118,Dr(a). Ludmila Molina,Hip-Hop,ES,2010,2023-09-20
119,Maria Emilia Agustin Perez,Rock,CO,2009,2022-11-04
120,Giuliana Victoria Ramos,Electronica,CO,2016,2021-10-30
121,Lucía Perez,Cumbia,CO,2008,2023-02-09
122,Luz Milagros Martinez Romero,Reggaeton,BR,2016,2023-09-23
123,Sr(a). Valentino Martinez,Cumbia,CO,2001,2023-06-14
124,Lucia Bautista Ramirez,Electronica,MX,1990,2021-09-14
125,Dr(a). Ciro Diaz,Electronica,BR,2017,2023-04-02
126,Francesca Vazquez,Hip-Hop,MX,2018,2022-06-24
127,Jazmín Vazquez Alvarez,Jazz,ES,2020,2020-12-13
128,Thiago Joaquin Garcia Alvarez,Rock,US,2022,2023-09-21
129,Mateo Benjamin Ponce,Hip-Hop,AR,2005,2023-10-09
130,Sr(a). Pilar Perez,Electronica,BR,2002,2020-10-28
131,Martina Romero,Pop,AR,2005,2022-08-31
132,Lisandro Mansilla,Rock,MX,2016,2023-07-13
133,Lautaro Gabriel Mateo Benjamin Barrios,Jazz,CO,2014,2022-10-09
134,Sr(a). Catalina Flores,Cumbia,BR,1999,2023-09-05
135,Joaquin Perez,Pop,CL,1996,2022-05-20
136,Delfina Juan Cruz Coronel Alvarez,Jazz,BR,2023,2022-08-09
137,Valentina Rodriguez,Pop,ES,2005,2020-09-05
138,Lautaro Ezequiel Rodriguez Moyano,Folk,BR,2019,2023-09-29
139,Lara Fausto Ferreyra,Hip-Hop,CL,2018,2023-06-08
140,Maria Guadalupe Diaz Gonzalez,Cumbia,CL,2018,2020-11-21
141,Emma Agustin Gomez,Folk,MX,2006,2021-05-21
142,Valentin Valentina Torres,Electronica,CL,2023,2022-09-19
143,Sr(a). Santiago Benjamin Lopez,Jazz,US,2018,2020-06-07
144,Santino Benjamin Sanchez Peralta,Electronica,BR,2007,2021-11-18
145,Camila Vera,Hip-Hop,ES,1995,2020-10-10
146,Mia Rivero Martinez,Reggaeton,BR,2014,2023-11-22
147,Mia Jazmin Juan Martin Gomez Velazquez,Reggaeton,CO,2003,2020-05-11
148,Lautaro Flores Torres,Cumbia,MX,2011,2023-01-16
149,Dr(a). Benjamin Flores,Folk,MX,1993,2021-02-27
150,Santino Campos,Cumbia,MX,1991,2023-03-25
151,Lucia Benitez,Cumbia,MX,1990,2021-12-21
152,Dr(a). Mora Ayala,Electronica,CL,2014,2022-05-08
153,Valentin Paz,Jazz,MX,2004,2021-07-12
154,Dr(a). Juan Cruz Martinez,Cumbia,MX,1991,2022-03-07
155,Victoria Acosta Cardozo,Hip-Hop,CO,2015,2020-12-04
156,Dr(a). Alma Aguirre,Folk,BR,1991,2022-03-17
157,Joaquin Delfina Figueroa Romero,Pop,AR,2017,2020-10-04
158,Dr(a). Lautaro Benjamin Gutierrez,Folk,BR,1993,2021-06-16
159,Catalina Joaquín Suarez,Cumbia,US,2003,2022-07-20
160,Helena Mia Valentina Aguirre,Hip-Hop,US,2014,2021-07-23
161,Catalina Diaz Ledesma,Cumbia,US,1995,2022-08-21
162,Vicente Guadalupe Castro Romero,Pop,CO,1993,2021-12-17
163,Dr(a). Lautaro Acosta,Jazz,CO,1994,2023-08-27
164,Valentina Juan Ignacio Lopez Gomez,Pop,CL,1991,2021-05-21
165,Sr(a). Santiago Ponce,Jazz,CL,1991,2023-06-26
166,Lisandro Maria Belen Pereyra Garcia,Reggaeton,BR,1998,2022-08-27
167,Zoe Jazmin Garcia Sosa,Rock,ES,2003,2022-08-10
168,Benjamin Mateo Benjamin Perez Bravo,Electronica,CL,2013,2020-12-09
169,Dr(a). Genaro Fernandez,Rock,CL,2000,2021-09-29
170,Santino Gonzalez,Rock,ES,1991,2021-09-30
171,Valentin Simon Lopez Rodriguez,Cumbia,MX,2002,2020-06-04
172,Juan Ignacio Rodriguez,Jazz,AR,2009,2023-11-02
173,Bautista Morales,Rock,CL,1992,2021-12-12
174,Felipe Correa Duarte,Cumbia,CO,2013,2020-05-21
175,Priscila Gomez Coronel,Hip-Hop,AR,2016,2022-09-30
176,Sr(a). Octavio Alvarez,Rock,MX,2013,2023-07-25
177,Juana Nuñez,Folk,CO,1999,2022-06-10
178,Julieta Rios,Reggaeton,CO,2023,2023-08-25
179,Sr(a). Abigail Diaz,Electronica,ES,2020,2022-08-10
180,Thiago Benjamin Catalina Martinez,Cumbia,CL,2007,2021-10-22
181,Sr(a). Mateo Ramirez,Jazz,CL,1995,2021-07-25
182,Dr(a). Juana Martinez,Folk,BR,2019,2023-03-13
183,Federico Facundo Castillo Blanco,Cumbia,US,1991,2022-10-09
184,Sr(a). Pedro Molina,Hip-Hop,BR,2021,2021-03-10
185,Luz Maria Ezequiel Rodriguez,Hip-Hop,CL,2006,2021-11-28
186,Sol Mia Paz,Electronica,ES,2007,2023-02-12
187,Simon Valentin Sanchez Ruiz,Pop,ES,2002,2020-06-24
188,Guillermina Morena Rodriguez Gonzalez,Jazz,CO,2016,2022-09-27
189,Abril Juarez,Jazz,CO,2020,2023-08-15
190,Catalina Soto Miranda,Folk,MX,1991,2020-07-09
191,Sr(a). Angel Gabriel Carrizo,Electronica,BR,2015,2023-11-17
192,Dante Paulina Lopez Gutierrez,Jazz,US,2013,2022-08-27
193,Santino Gabriel Lopez,Hip-Hop,MX,2011,2021-12-21
194,Dr(a). Juan Manuel Aguirre,Folk,US,2009,2021-05-29
195,Valentin Ramirez Sanchez,Jazz,AR,2002,2021-10-08
196,Jazmín Romero Ledesma,Rock,CO,2001,2021-01-27
197,Antonella Camila Coronel Gonzalez,Jazz,CO,2020,2021-07-20
198,Josefina Sanchez Valdez,Electronica,AR,2002,2021-08-29
199,Santino Ezequiel Paz,Jazz,US,2001,2021-09-11
200,Milagros Molina Ramirez,Pop,CO,1998,2021-07-15
1,Benjamin Perez Diaz,Pop,AR,2007,2022-06-12
2,Amparo Paez Rodriguez,Hip-Hop,BR,1996,2025-03-14
3,Martina Gomez,Cumbia,ES,2017,2021-05-09
4,Juan Bautista Martina Diaz,Cumbia,AR,2003,2022-12-28
5,Dr(a). Delfina Nuñez,Rock,ES,2002,2024-08-28
6,Alejo Fernandez Flores,Electronica,BR,2018,2024-09-12
7,Felipe Maximiliano Romero Gomez,Jazz,CL,1990,2022-07-25
8,Benicio Romero Perez,Jazz,US,2007,2022-05-07
9,Sebastian Rojas Valdez,Rock,CL,2011,2021-08-23
10,Bautista Garcia,Jazz,MX,1996,2023-09-06
11,Dr(a). Dante Vega,Pop,ES,2006,2021-05-01
12,Antonella Ramos Velazquez,Jazz,ES,1997,2023-10-23
13,Mateo Ezequiel Olivia Acosta,Pop,ES,2008,2025-05-01
14,Mateo Benicio Carrizo Quiroga,Cumbia,ES,2002,2025-11-28
15,Tomas Lopez Ojeda,Pop,AR,2004,2022-10-31
16,Malena Victoria Blanco,Reggaeton,CL,2004,2022-05-09
17,Sr(a). Ramiro Mansilla,Reggaeton,US,2019,2024-09-05
18,Francisco Gonzalez Sanchez,Rock,BR,2013,2023-02-26
19,Bautista Ian Ezequiel Ortiz Vera,Hip-Hop,CO,2007,2025-07-08
20,Ambar Camila Avila,Hip-Hop,ES,2000,2024-10-29
21,Felipe Fernandez,Folk,BR,2019,2023-12-29
22,Dr(a). Thiago Valentin Flores,Rock,CO,2004,2025-07-27
23,Dr(a). Guadalupe Franco,Jazz,CL,1993,2022-11-30
24,Bianca Catalina Gonzalez,Electronica,CL,2010,2023-08-31
25,Felipe Fernandez Peralta,Folk,AR,2003,2025-01-01
26,Sr(a). Olivia Luna,Jazz,BR,2021,2023-08-24
27,Julia Valdez,Electronica,BR,2006,2022-08-25
28,Thiago Ezequiel Gomez Cruz,Pop,CO,2006,2025-02-17
29,Camilo Alma Garcia Fernandez,Hip-Hop,ES,2015,2023-03-02
30,Benjamin Alejandro Hernandez Perez,Folk,BR,2022,2024-01-21
